"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","product sales","postage credits","gift wrap credits","promotional rebates","selling fees","fba fees","other transaction fees","other","total"
"20 Jun 2014 15:10:53 GMT+00:00","6446517452","Order","203-1710992-8049139","9Y-S2O7-I54H","Dental Scaler Professional Tool Stainless Steel","1","amazon.co.uk","Amazon","BATH","","BA2 7BG","5.90","0","0","0","-0.89","-1.07","0","0","3.94"
"21 Jun 2014 11:53:48 GMT+00:00","6446517452","Order","026-9437423-0875530","XO-FD1H-S4AQ","Nail Cleaner Instrument Professional Grade Excavator","1","amazon.co.uk","Amazon","Bridgwater","Somerset","TA51EB","6.49","0","0","0","-0.97","-3.27","0","0","2.25"
"22 Jun 2014 10:35:48 GMT+00:00","6446517452","Order","026-2954624-4886721","9Y-S2O7-I54H","Dental Scaler Professional Tool Stainless Steel","1","amazon.co.uk","Amazon","EATON BRAY","BEDS","LU62EB","5.90","0","0","0","-0.89","-1.07","0","0","3.94"
"23 Jun 2014 03:56:33 GMT+00:00","6446517452","Order","205-5168058-2049118","9Y-S2O7-I54H","Dental Scaler Professional Tool Stainless Steel","1","amazon.co.uk","Amazon","St Albans","Herts","AL2 1QG","5.90","0","0","0","-0.89","-1.07","0","0","3.94"
"23 Jun 2014 09:56:10 GMT+00:00","6446517452","Order","205-4026480-7885923","9Y-S2O7-I54H","Dental Scaler Professional Tool Stainless Steel","1","amazon.co.uk","Amazon","Bromley","Kent","BR2 0NX","5.90","0","0","0","-0.89","-1.07","0","0","3.94"
"23 Jun 2014 12:15:07 GMT+00:00","6446517452","Order","203-8624005-7886701","BF-0CSD-OBUM","Blackhead Whitehead Spot Remover Comedone Extractor","1","amazon.co.uk","Amazon","London","","SW16 4BQ","6.49","0","0","0","-0.97","-3.41","0","0","2.11"
"23 Jun 2014 13:08:59 GMT+00:00","6446517452","Order","202-8474438-1004340","6P-SDKK-J2W7","Comedone extractor spot removal tool","1","amazon.co.uk","Amazon","east grinstead","west sussex","RH19 4QH","6.49","0","0","0","-0.97","-3.41","0","0","2.11"
"25 Jun 2014 10:03:18 GMT+00:00","6451513252","Order","203-5740796-8085923","9Y-S2O7-I54H","Dental Scaler Professional Tool Stainless Steel","1","amazon.co.uk","Amazon","HAMPTON","Middx","TW12 3UZ","5.90","6.01","0","0","-0.89","-6.08","0","0","4.94"
"25 Jun 2014 18:22:03 GMT+00:00","6451513252","Transfer","","","To account ending in: 9101","","","","","","","0","0","0","0","0","0","0","-72.16","-72.16"
"26 Jun 2014 17:29:49 GMT+00:00","6451513252","Order","202-9262373-3983550","9Y-S2O7-I54H","Dental Scaler Professional Tool Stainless Steel","1","amazon.co.uk","Amazon","Warrington","Cheshire","WA2 0EH","5.90","0","0","0","-0.89","-1.07","0","0","3.94"
"30 Jun 2014 13:48:22 GMT+00:00","6451513252","Order","205-5755567-5707526","BF-0CSD-OBUM","Blackhead Whitehead Spot Remover Comedone Extractor","1","amazon.co.uk","Amazon","CHATHAM","KENT","ME4 3BB","6.49","0","0","0","-0.97","-3.41","0","0","2.11"
"30 Jun 2014 13:49:54 GMT+00:00","6451513252","Order","204-0921191-3775521","BF-0CSD-OBUM","Blackhead Whitehead Spot Remover Comedone Extractor","1","amazon.co.uk","Amazon","43 Brook Green","Hammersmith, London","W6 7EF","6.49","0","0","0","-0.97","-3.41","0","0","2.11"
"30 Jun 2014 15:08:29 GMT+00:00","6451513252","Order","205-7509209-8763528","BF-0CSD-OBUM","Blackhead Whitehead Spot Remover Comedone Extractor","1","amazon.co.uk","Amazon","Dorchester","Dorset","DT27LW","6.49","0","0","0","-0.97","-3.41","0","0","2.11"
