"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","ventes de produits","crédits d'expédition","crédits sur l'emballage cadeau","Rabais promotionnels","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"3 juin 2014 15:01:05 UTC+00:00","6441781892","Commande","404-1930256-4579531","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","ST MARTIN D HERES","","38400","9,90","0","0","0","-1,49","-2,00","0","0","6,41"
"3 juin 2014 16:09:43 UTC+00:00","6441781892","Commande","402-0071375-3773915","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","Paris","","75015","9,90","0","0","0","-1,49","-2,00","0","0","6,41"
"3 juin 2014 20:46:09 UTC+00:00","6441781892","Commande","171-9842905-1446739","RO-QBLN-JY5Z","Pince à ongles de doigts de pieds, 22 mm de surface de coupe, acier inoxydable","1","amazon.fr","Amazon","paris","","75018","9,90","2,79","0","0","-1,49","-6,45","0","0","4,75"
"3 juin 2014 20:46:14 UTC+00:00","6441781892","Commande","171-1705440-1247511","RO-QBLN-JY5Z","Pince à ongles de doigts de pieds, 22 mm de surface de coupe, acier inoxydable","1","amazon.fr","Amazon","Alata","","20167","9,90","2,79","0","0","-1,49","-6,45","0","0","4,75"
"4 juin 2014 11:16:58 UTC+00:00","6441781892","Commande","403-6960257-4535565","V-KB-K-5","5 m de velcro auto-adhésif, toison et crochets, 20 mm de large, noir","1","amazon.fr","Amazon","ESSE","","35150","12,90","2,79","0","0","-1,94","-7,90","0","0","5,85"
"4 juin 2014 19:18:46 UTC+00:00","6441781892","Commande","402-9498284-4568364","RO-QBLN-JY5Z","Pince à ongles de doigts de pieds, 22 mm de surface de coupe, acier inoxydable","1","amazon.fr","Amazon","marquette lez lille","","59520","9,90","0","0","0","-1,49","-4,10","0","0","4,31"
"5 juin 2014 08:06:34 UTC+00:00","6441781892","Commande","402-8448772-8149936","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","PERIGNAC","","17800","9,90","0","0","0","-1,49","-2,00","0","0","6,41"
"5 juin 2014 19:03:55 UTC+00:00","6441781892","Commande","404-7598566-6040317","RO-QBLN-JY5Z","Pince à ongles de doigts de pieds, 22 mm de surface de coupe, acier inoxydable","1","amazon.fr","Amazon","Issy les Moulineaux","","92130","9,90","0","0","0","-1,49","-4,10","0","0","4,31"
"5 juin 2014 19:05:52 UTC+00:00","6441781892","Remboursement","404-7815632-9738728","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","LANGRES","","52200","-9,90","-2,79","0","0","1,19","2,33","0","0","-9,17"
"6 juin 2014 16:55:38 UTC+00:00","6441781892","Commande","402-8432465-8110724","9Y-S2O7-I54H","Dispositif détartreur sonde dentaire nettoyante en acier inoxydable","1","amazon.fr","Amazon","Saint Symphorien D'Ozon","","69360","9,90","0","0","0","-1,49","-2,00","0","0","6,41"
"6 juin 2014 20:43:45 UTC+00:00","6441781892","Commande","402-4784185-1464342","RO-QBLN-JY5Z","Pince à ongles de doigts de pieds, 22 mm de surface de coupe, acier inoxydable","1","amazon.fr","Amazon","St Jean De Vedas","","34430","9,90","0","0","0","-1,49","-4,10","0","0","4,31"
"7 juin 2014 09:30:43 UTC+00:00","6441781892","Frais de stock Expédié par Amazon","","","Frais de stockage Expédié par Amazon","","Amazon.fr","","","","","0","0","0","0","0","0","0","-0,04","-0,04"
"10 juin 2014 08:37:57 UTC+00:00","6441781892","Commande","402-7183541-7987518","BM-94IS-RPEI","Canards de mariage mariée et le marié","1","amazon.fr","Amazon","ELBEUF","","76500","6,79","0","0","0","-1,02","-5,05","0","0","0,72"
"10 juin 2014 11:18:48 UTC+00:00","6441781892","Commande","404-8486500-5729938","RO-QBLN-JY5Z","Pince à ongles de doigts de pieds, 22 mm de surface de coupe, acier inoxydable","1","amazon.fr","Amazon","MERIGNAC","","33700","9,90","0","0","0","-1,49","-4,10","0","0","4,31"
"10 juin 2014 11:23:18 UTC+00:00","6441781892","Commande","404-0524309-4987537","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","LIMOURS","","91470","9,90","0","0","0","-1,49","-2,00","0","0","6,41"
"10 juin 2014 11:54:17 UTC+00:00","6441781892","Commande","402-4235219-9057153","JVS-08","Bracelet en cuir Rincon style surfeur","1","amazon.fr","Amazon","Begles","","33130","8,90","2,79","2,60","0","-1,78","-8,64","0","0","3,87"
"10 juin 2014 12:48:10 UTC+00:00","6441781892","Commande","404-9169850-0113963","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","Paris","","75013","9,90","0","0","0","-1,49","-2,00","0","0","6,41"
"10 juin 2014 12:53:17 UTC+00:00","6441781892","Commande","171-1310282-8152366","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","SOINDRES","","78200","9,90","0","0","0","-1,49","-2,00","0","0","6,41"
"10 juin 2014 12:53:20 UTC+00:00","6441781892","Commande","404-9011894-3372348","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","MASSY","","91300","9,90","0","0","0","-1,49","-2,00","0","0","6,41"
"10 juin 2014 18:51:16 UTC+00:00","6446518082","Commande","403-9958587-0138724","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","Saint Paul Trois Chateaux","","26130","9,90","0","0","0","-1,49","-2,00","0","0","6,41"
"10 juin 2014 19:01:01 UTC+00:00","6446518082","Commande","404-6276861-1951558","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","Paris","","75014","9,90","0","0","0","-1,49","-2,00","0","0","6,41"
"10 juin 2014 20:34:01 UTC+00:00","6446518082","Commande","171-3177801-7810758","6P-SDKK-J2W7","Eliminateur de points noirs extracteur de comédons instrument cosmétique","1","amazon.fr","Amazon","Vitry sur seine","","94400","9,90","0","0","0","-1,49","-4,10","0","0","4,31"
"10 juin 2014 20:34:45 UTC+00:00","6446518082","Commande","171-3383308-4109913","BM-94IS-RPEI","Canards de mariage mariée et le marié","1","amazon.fr","Amazon","montmagny","","95360","6,79","1,39","0","0","-1,02","-6,22","0","0","0,94"
"10 juin 2014 20:37:43 UTC+00:00","6446518082","Commande","403-8157007-5443518","RO-QBLN-JY5Z","Pince à ongles de doigts de pieds, 22 mm de surface de coupe, acier inoxydable","1","amazon.fr","Amazon","VALBONNE","","06560","9,90","1,40","0","0","-1,49","-5,28","0","0","4,53"
"10 juin 2014 20:37:47 UTC+00:00","6446518082","Commande","171-8251236-4998701","RO-QBLN-JY5Z","Pince à ongles de doigts de pieds, 22 mm de surface de coupe, acier inoxydable","1","amazon.fr","Amazon","Marseille","","13014","9,90","2,79","0","0","-1,49","-6,45","0","0","4,75"
"11 juin 2014 13:32:55 UTC+00:00","6446518082","Commande","402-3115136-1927561","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","kuntzig","","57970","9,90","0","0","0","-1,49","-2,00","0","0","6,41"
"11 juin 2014 16:16:48 UTC+00:00","6446518082","Commande","402-5048454-0937929","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","Venarey Les Laumes","","21150","9,90","0","0","0","-1,49","-2,00","0","0","6,41"
"11 juin 2014 17:11:54 UTC+00:00","6446518082","Commande","402-9655860-9213937","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","St Denis En Val","","45560","9,90","0","0","0","-1,49","-2,00","0","0","6,41"
"11 juin 2014 17:41:58 UTC+00:00","6446518082","Transfert","","","vers le compte finissant en : 9101","","","","","","","0","0","0","0","0","0","0","-260,77","-260,77"
"12 juin 2014 20:36:05 UTC+00:00","6446518082","Commande","404-5534792-3825158","RO-QBLN-JY5Z","Pince à ongles de doigts de pieds, 22 mm de surface de coupe, acier inoxydable","1","amazon.fr","Amazon","Anjouin","","36210","9,90","0","0","0","-1,49","-4,10","0","0","4,31"
"13 juin 2014 11:51:22 UTC+00:00","6446518082","Commande","404-4534876-8944353","RO-QBLN-JY5Z","Pince à ongles de doigts de pieds, 22 mm de surface de coupe, acier inoxydable","1","amazon.fr","Amazon","TOURCOING","","59200","9,90","0","0","0","-1,49","-4,10","0","0","4,31"
"13 juin 2014 12:03:45 UTC+00:00","6446518082","Commande","404-3530438-1312357","BM-94IS-RPEI","Canards de mariage mariée et le marié","1","amazon.fr","Amazon","Aix en Provence","","13090","6,79","0","0","0","-1,02","-5,05","0","0","0,72"
"16 juin 2014 07:00:46 UTC+00:00","6446518082","Commande","403-9551212-1741945","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","Sanguinet","","40460","9,90","0","0","0","-1,49","-2,00","0","0","6,41"
"16 juin 2014 08:00:18 UTC+00:00","6446518082","Commande","403-3195590-9745954","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","Rosny sous bois","","93110","9,90","2,79","0","0","-1,49","-4,33","0","0","6,87"
"16 juin 2014 14:05:03 UTC+00:00","6446518082","Commande","402-7463897-3007559","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","Cagnes Sur Mer","","06800","9,90","0","0","0","-1,49","-2,00","0","0","6,41"
"16 juin 2014 20:39:03 UTC+00:00","6446518082","Commande","171-7691892-2633141","RO-QBLN-JY5Z","Pince à ongles de doigts de pieds, 22 mm de surface de coupe, acier inoxydable","1","amazon.fr","Amazon","LA FERTE GAUCHER","","77320","9,90","2,79","0","0","-1,49","-6,45","0","0","4,75"
"17 juin 2014 11:59:34 UTC+00:00","6446518082","Commande","404-6787162-6386745","S6-NR5L-A3AL","Sonde dentaire professionnelle instruments dentaires pour l'élimination du tartre","1","amazon.fr","Amazon","PARIS","PARIS","75015","8,90","0","0","0","-1,34","-4,10","0","0","3,46"
"17 juin 2014 11:59:37 UTC+00:00","6446518082","Commande","404-0046223-1619572","V-KB-K-5","5 m de velcro auto-adhésif, toison et crochets, 20 mm de large, noir","1","amazon.fr","Amazon","Thorailles","Loiret","45210","12,90","0","0","0","-1,94","-5,55","0","0","5,41"
"17 juin 2014 12:01:42 UTC+00:00","6446518082","Commande","402-3125693-3592354","V-KB-K-5","5 m de velcro auto-adhésif, toison et crochets, 20 mm de large, noir","1","amazon.fr","Amazon","ifs","","14123","12,90","0","0","0","-1,94","-5,55","0","0","5,41"
"17 juin 2014 14:09:07 UTC+00:00","6446518082","Commande","403-1915074-6712325","8R-UDFN-Z1BE","Passe-câble passage de câble 80mm finition chromée","2","amazon.fr","Amazon","Montlouis sur Loire","","37270","15,00","0","0","0","-1,80","-8,20","0","0","5,00"
